lien,name,tagline,price,dates
https://mapara.ma/anti-moustiques/3751-puressentiel-anti-pique-spray-200ml.html,PURESSENTIEL,ANTI-PIQUE SPRAY 200ML,"249,00",2022-09-01 11:39:05.789673
https://mapara.ma/anti-moustiques/3752-puressentiel-anti-pique-spray-repulsif-apaisant-75ml.html,PURESSENTIEL,ANTI-PIQUE SPRAY RÉPULSIF + APAISANT 75ML,"122,00",2022-09-01 11:39:05.790241
https://mapara.ma/rhume-soins-respiratoires-gorge/3802-puressentiel-resp-ok-baume-de-massage-19-huiles-essentielles-50ml.html,PURESSENTIEL,RESP OK BAUME DE MASSAGE 19 HUILES ESSENTIELLES 50ML,"149,00",2022-09-01 11:39:07.015864
https://mapara.ma/anti-moustiques/3753-puressentiel-anti-pique-spray-repulsif-bebe-60ml.html,PURESSENTIEL,ANTI-PIQUE SPRAY RÉPULSIF BÉBÉ 60ML,"126,00",2022-09-01 11:39:07.016518
https://mapara.ma/cremes-sports-musculaire/3755-puressentiel-articulations-muscles-cryo-pure-gel-80ml.html,PURESSENTIEL,ARTICULATIONS & MUSCLES CRYO PURE GEL 80ML,"208,00",2022-09-01 11:39:07.017492
https://mapara.ma/cremes-sports-musculaire/3756-puressentiel-articulations-muscles-cryo-pure-roller-75ml.html,PURESSENTIEL,ARTICULATIONS & MUSCLES CRYO PURE ROLLER 75ML,"138,00",2022-09-01 11:39:07.018128
https://mapara.ma/cremes-sports-musculaire/3757-puressentiel-articulations-muscles-cryo-purer-spray-150ml.html,PURESSENTIEL,ARTICULATIONS & MUSCLES CRYO PURE® SPRAY 150ML,"186,00",2022-09-01 11:39:07.018796
https://mapara.ma/cremes-sports-musculaire/3758-puressentiel-articulations-muscles-friction-14-huiles-essentielles-arnica-200ml.html,PURESSENTIEL,ARTICULATIONS & MUSCLES FRICTION 14 HUILES ESSENTIELLES & ARNICA 200ML,"367,00",2022-09-01 11:39:07.019369
https://mapara.ma/cremes-sports-musculaire/3759-puressentiel-articulations-baume-calmant-aux-14-huiles-essentielles-30-ml.html,PURESSENTIEL,ARTICULATIONS BAUME CALMANT AUX 14 HUILES ESSENTIELLES 30 ML,"206,00",2022-09-01 11:39:07.019869
https://mapara.ma/cremes-sports-musculaire/3760-puressentiel-articulations-gel-aux-14-huiles-essentielles-60-ml.html,PURESSENTIEL,ARTICULATIONS GEL AUX 14 HUILES ESSENTIELLES 60 ML,"120,00",2022-09-01 11:39:07.020363
